what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1362603476813
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1362603476814
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1362603476814
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1362603476814
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1362603476814
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1362603476814
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1362603476814
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1362603476814
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples,2.5.0.200810071,"org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples",1362603476814
stopped,bundle,org.eclipse.datatools.sqltools.schemaobjecteditor.ui.pages,1.1.1.200810071,"org.eclipse.datatools.sqltools.schemaobjecteditor.ui.pages",1362603476815
stopped,bundle,org.eclipse.datatools.sqltools.schemaobjecteditor.ui,1.1.1.200810071,"org.eclipse.datatools.sqltools.schemaobjecteditor.ui",1362603476815
stopped,bundle,org.eclipse.pde.ua.ui,1.0.200.v20121115-212857,"org.eclipse.pde.ua.ui",1362603476815
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.4.v201301111130,"org.eclipse.datatools.connectivity.oda.template.ui",1362603476815
stopped,bundle,org.eclipse.pde.ds.ui,1.0.200.v20120705-113245,"org.eclipse.pde.ds.ui",1362603476815
stopped,bundle,org.eclipse.pde.runtime,3.4.400.v20121210-192755,"org.eclipse.pde.runtime",1362603476815
stopped,bundle,org.eclipse.pde.ui.templates,3.4.500.v20130115-174742,"org.eclipse.pde.ui.templates",1362603476815
stopped,bundle,org.eclipse.pde.ui,3.8.0.v20130123-101906,"org.eclipse.pde.ui",1362603476815
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1362603476815
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1362603476815
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1362603476815
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1362603476815
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1362603476815
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1362603476815
stopped,bundle,org.eclipse.wtp.epp.package.jee.intro,1.3.0.v201006142040,"org.eclipse.wtp.epp.package.jee.intro",1362603476815
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1362603476815
stopped,bundle,org.eclipse.datatools.enablement.hsqldb.ui,1.0.0.v201108120600,"org.eclipse.datatools.enablement.hsqldb.ui",1362603476816
stopped,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v201105270214,"org.eclipse.datatools.enablement.ingres.ui",1362603476816
stopped,bundle,org.eclipse.datatools.enablement.postgresql.ui,1.0.0.v201107221506,"org.eclipse.datatools.enablement.postgresql.ui",1362603476816
stopped,bundle,org.eclipse.datatools.enablement.sqlite.ui,1.0.0.v201107221507,"org.eclipse.datatools.enablement.sqlite.ui",1362603476816
stopped,bundle,org.eclipse.datatools.connectivity.db.generic.ui,1.0.2.v201211200622,"org.eclipse.datatools.connectivity.db.generic.ui",1362603476816
stopped,bundle,org.eclipse.datatools.connectivity.apache.derby.ui,1.0.3.v201107221459,"org.eclipse.datatools.connectivity.apache.derby.ui",1362603476816
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.ui,1.0.1.v200906111204,"org.eclipse.datatools.enablement.sybase.asa.ui",1362603476816
stopped,bundle,org.eclipse.datatools.enablement.sybase.ase.ui,1.0.1.v200906020900,"org.eclipse.datatools.enablement.sybase.ase.ui",1362603476816
stopped,bundle,org.eclipse.datatools.enablement.sybase.ui,1.0.0.v200906090452,"org.eclipse.datatools.enablement.sybase.ui",1362603476816
stopped,bundle,org.eclipse.datatools.sqltools.data.ui,1.2.2.v201212120623,"org.eclipse.datatools.sqltools.data.ui",1362603476816
stopped,bundle,org.eclipse.datatools.connectivity.sqm.server.ui,1.1.101.v201212070447,"org.eclipse.datatools.connectivity.sqm.server.ui",1362603476816
stopped,bundle,org.eclipse.datatools.sqltools.ddlgen.ui,1.0.3.v201211200616,"org.eclipse.datatools.sqltools.ddlgen.ui",1362603476816
stopped,bundle,org.eclipse.datatools.sqltools.db.derby.ui,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.derby.ui",1362603476817
stopped,bundle,org.eclipse.datatools.sqltools.db.generic.ui,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.generic.ui",1362603476817
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core.ui,1.0.0.v201003161000,"org.eclipse.datatools.sqltools.debugger.core.ui",1362603476817
stopped,bundle,org.eclipse.datatools.sqltools.routineeditor.ui,1.0.3.v201211200616,"org.eclipse.datatools.sqltools.routineeditor.ui",1362603476817
stopped,bundle,org.eclipse.datatools.sqltools.sqlbuilder,1.0.5.v201212120623,"org.eclipse.datatools.sqltools.sqlbuilder",1362603476817
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core,1.0.1.v201107221520,"org.eclipse.datatools.sqltools.debugger.core",1362603476817
stopped,bundle,org.eclipse.datatools.sqltools.sqlscrapbook,1.0.2.v201205310922,"org.eclipse.datatools.sqltools.sqlscrapbook",1362603476817
